=== Dry-run duplicate merge report (case-insensitive exact-name duplicates) ===
No data is modified. This report recommends keep/drop ids and estimates conflict risk.
 rank |       normalized_name        | group_size |               keep_id                |          keep_name           |               drop_id                |          drop_name           | keep_recipe_refs | drop_recipe_refs | keep_price_rows | drop_price_rows | keep_has_bls | drop_has_bls | keep_has_nutrition | drop_has_nutrition | keep_nutrition_nonzero_fields | drop_nutrition_nonzero_fields | price_conflicts | recipe_conflicts | unit_conflicts | impact_score | risk_score | risk_level 
   54 | knäckebrot                   |          2 | 7eb33659-457e-5150-a2f0-10c6e3bb6676 | knäckebrot                   | 1adfb29e-9e15-59bf-b91e-2dc7c7e6e1fb | Knäckebrot                   |                0 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   55 | kochbanane                   |          2 | 22df7cf8-7e0e-5d82-9ad5-6096e12a3ab1 | kochbanane                   | 2968861c-8568-5c74-bda9-60de391e3caf | Kochbanane                   |                0 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   56 | kokosfett                    |          2 | 05039005-2361-5447-b303-4e431cbff119 | kokosfett                    | ecb73d1e-9576-56cd-8f03-2064ce541ea7 | Kokosfett                    |                0 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   57 | kokosnuss raspeln getrocknet |          2 | ec88d0ff-a826-527b-9fa4-e02110758a06 | Kokosnuss Raspeln getrocknet | 526f71f2-af96-5ad3-9e1c-d7c243fe812f | kokosnuss Raspeln getrocknet |                0 |                0 |               0 |               0 | f            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   58 | krakauer                     |          2 | fc56e30a-034b-58e2-a666-1f870fd15e83 | Krakauer                     | 408c5920-f980-540e-b0c3-e4a775bb27a4 | krakauer                     |                0 |                0 |               0 |               0 | f            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   59 | kräuteressig                 |          2 | 28be302b-98b0-59be-8c81-9c139a1ba915 | Kräuteressig                 | 83493145-e64c-55f7-a6d8-1f4c87d4c94f | kräuteressig                 |                0 |                0 |               0 |               0 | f            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   60 | kräuterlikör                 |          2 | bab7ec4b-67c9-51d1-88aa-0b72ebf3bb50 | kräuterlikör                 | 485d038a-669e-56aa-92ee-f2dcc1a6c4b9 | Kräuterlikör                 |                0 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   61 | krokant                      |          2 | 43c52c59-66d0-55c0-beaa-e599f1664670 | krokant                      | 71b11e18-c69c-569c-94bf-f881fdd11603 | Krokant                      |                0 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   62 | kürbiskernöl                 |          2 | cfb7d5e0-768d-5906-99b8-37f1e5428328 | Kürbiskernöl                 | f46b9604-a0dc-58c2-a3b0-489fa4fe9315 | kürbiskernöl                 |                0 |                0 |               0 |               0 | f            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   63 | lachsschinken                |          2 | 47a32234-fa68-548e-9da7-7d7ba6818c50 | lachsschinken                | 897027f9-3c3e-5bdc-8c04-4bd07fa1e88e | Lachsschinken                |                0 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
